Country ,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tanzania,TZA,2182.374747,2329.330437,2408.249792,2539.662399,2680.385594,2791.023424,2926.328043,3090.494371,3240.262937
Uganda,UGA,1552.93584,1679.937855,1722.184621,1757.490012,1820.129666,1868.547153,1908.300268,1945.358604,2038.073892
Ukraine,UKR,7664.396582,8281.867126,8481.779747,8647.990381,8710.749383,7972.435611,8289.707288,8693.693649,9249.462135
Upper middle income,UMC,12005.33229,13106.17993,13961.78921,14775.60401,15558.41838,16098.98468,16850.03067,17910.42392,19028.86276
Uruguay,URY,16808.28488,17993.44754,18930.9673,20094.29378,21069.23438,21300.97607,21820.25901,22728.13475,23572.17746
United States,USA,48466.82338,49883.11398,51603.49726,53106.90977,55032.958,56803.47243,57904.20196,59927.92983,62794.58565
Uzbekistan,UZB,5136.234068,5502.049022,5933.17607,6394.541435,6866.481774,7327.832069,7723.937506,8084.651372,8556.051512
St. Vincent and the Grenadines,VCT,9807.792586,9965.064507,10285.2807,10639.2469,10948.04925,11182.83559,11486.90066,11782.722,12287.9755
Vietnam,VNM,4342.751917,4662.223052,4949.131363,5253.397519,5613.627304,5989.75769,6365.289485,6857.984044,7447.814334
Vanuatu,VUT,2888.738336,2905.904722,2930.914618,2956.516263,2997.943089,2954.966829,3011.853589,3123.565004,3221.149823
World,WLD,12876.52253,13592.33638,14152.53959,14764.10168,15342.94675,15815.028,16358.48564,17151.60105,17948.41704
Samoa,WSM,5360.970497,5655.137334,5480.605903,5505.993493,5570.620519,5831.525656,6336.645501,6495.387727,6483.534228
Kosovo,XKX,7782.875107,8222.285712,8547.652384,8903.763429,9194.741819,9781.019679,10208.8579,10756.66346,11348.36345
"Yemen, Rep.",YEM,4472.726448,3876.302619,3935.167105,4084.882967,4045.500031,3320.110156,2827.691023,2645.308383,2575.126385
South Africa,ZAF,11728.16049,12179.17419,12488.21557,12815.72707,13090.47683,13185.25328,13188.02962,13438.28289,13686.88236
Zambia,ZMB,3269.794329,3419.01046,3634.780353,3765.584162,3893.549478,3927.761816,3998.004435,4090.12004,4223.906936
Zimbabwe,ZWE,1888.566739,2168.110293,2534.541919,2583.985638,2648.568967,2679.580317,2687.385429,2825.725122,3029.793005
